search URL:,https://patents.google.com/?q=%28%28AB%253d%28%22carbon+capture%22%29+OR+AB%253d%28%22carbon+dioxide%2Acapture%22%29+OR+AB%253d%28%22carbon+dioxide%2Atrap%2A%22%29+OR+AB%253d%28%22CO2+capture%22%29+OR+AB%253d%28%22carbon%2Aseparat%2A%22%29+OR+AB%253d%28%22CO2+separat%2A%22%29+OR+AB%253d%28%22captur%2A+carbon+dioxide%22%29+OR+AB%253d%28%22captur%2A+CO2%22%29+OR+AB%253d%28%22separat%2A+carbon+dioxide%22%29+OR+AB%253d%28%22absorb%2A+carbon+dioxide%22%29+OR+AB%253d%28%22compress%2A+carbon+dioxide%22%29+OR+AB%253d%28%22carbon%2Aabsor%2A%22%29+OR+AB%253d%28%22CO2+absor%2A%22%29+OR+AB%253d%28%22carbon%2Acompress%2A%22%29+OR+AB%253d%28%22CO2+compress%2A%22%29+OR+%28%28AB%253d%28%22solvent+regenerat%2A%22%29+OR+AB%253d%28%22solvent+recover%2A%22%29%29+AND+AB%253d%28%22carbon%22%29%29%29++OR++%28TI%253d%28%22carbon+capture%22%29+OR+TI%253d%28%22carbon+dioxide%2Acapture%22%29+OR+TI%253d%28%22carbon+dioxide%2Atrap%2A%22%29+OR+TI%253d%28%22CO2+capture%22%29+OR+TI%253d%28%22carbon%2Aseparat%2A%22%29+OR+TI%253d%28%22CO2+separat%2A%22%29+OR+TI%253d%28%22captur%2A+carbon+dioxide%22%29+OR+TI%253d%28%22captur%2A+CO2%22%29+OR+TI%253d%28%22separat%2A+carbon+dioxide%22%29+OR+TI%253d%28%22absorb%2A+carbon+dioxide%22%29+OR+TI%253d%28%22compress%2A+carbon+dioxide%22%29+OR+TI%253d%28%22carbon%2Aabsor%2A%22%29+OR+TI%253d%28%22CO2+absor%2A%22%29+OR+TI%253d%28%22carbon%2Acompress%2A%22%29+OR+TI%253d%28%22CO2+compress%2A%22%29+OR+%28%28TI%253d%28%22solvent+regenerat%2A%22%29+OR+TI%253d%28%22solvent+recover%2A%22%29%29+AND+TI%253d%28%22carbon%22%29%29%29%29&before=priority:20160101&after=priority:19800101&status=GRANT&type=PATENT&language=ENGLISH&dups=language&num=100
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
RU-2589884-C2,Recycling system for increasing efficiency of fuel cell with co2 capture ,Дженерал Электрик Компани,"Мэттью Александер ЛЕХАР, Эндрю Максуэлл ПИТЕР, Мэттью Джозеф ЭЛАЙНГЕР, Эндрю Филип ШАПИРО, Лаура Мишель ХАДИ, Брюс Филип БИДЕРМАН, Виталий Виктор ЛИССЯНСКИЙ, Роджер Аллен ШИСЛЕР",2011-03-31,2012-03-29,2016-07-10,2016-07-10,https://patents.google.com/patent/RU2589884C2/en,https://patentimages.storage.googleapis.com/ed/46/c5/c03024a2745c2c/00000002.png
US-9539375-B2,"Integrated leukocyte, oxygen and/or CO2 depletion, and plasma separation filter device ","New Health Sciences, Inc.","Tatsuro Yoshida, Paul J. Vernucci",2010-05-05,2015-03-02,2017-01-10,2017-01-10,https://patents.google.com/patent/US9539375B2/en,https://patentimages.storage.googleapis.com/5b/c8/43/02b46d4d1a21cd/US09539375-20170110-D00000.png
JP-5852231-B2,"Systems and methods for carbon capture and separation, environmental remediation and metal recovery ","エクスパンション エナジー， エルエルシー, エクスパンション  エナジー，  エルエルシー",デイビッド・バンダー,2011-05-16,2012-05-03,2016-02-03,2016-02-03,https://patents.google.com/patent/JP5852231B2/en,https://patentimages.storage.googleapis.com/0c/b5/85/03cfd25642f68d/0005852231-5.png
ES-2727343-T3,Carbon dioxide capture and sequestration system and method ,Peter Eisenberger,Peter Eisenberger,2012-05-04,2013-05-03,2019-10-15,2019-10-15,https://patents.google.com/patent/ES2727343T3/en,
US-10608272-B2,System for capturing CO2 from a fuel cell ,"Fuelcell Energy, Inc.",Fred C. Jahnke,2015-11-16,2018-05-15,2020-03-31,2020-03-31,https://patents.google.com/patent/US10608272B2/en,https://patentimages.storage.googleapis.com/22/d3/5a/db865875f9ddd7/US10608272-20200331-D00000.png
US-9370744-B2,Carbon pyrolyzate adsorbent having utility for CO2 capture and methods of making and using the same ,"Entegris, Inc.","Melissa A. Petruska, J. Donald Carruthers, Edward A. Sturm, Shaun M. Wilson, Joshua B. Sweeney",2011-01-31,2015-10-13,2016-06-21,2016-06-21,https://patents.google.com/patent/US9370744B2/en,https://patentimages.storage.googleapis.com/31/af/d8/7a33d3b75c278c/US09370744-20160621-D00000.png
US-9808759-B2,Carbon capture system and method for capturing carbon dioxide ,General Electric Technology Gmbh,"Michael Charles BALFE, Olaf Stallmann, Christoph Weingärtner",2014-06-02,2015-06-01,2017-11-07,2017-11-07,https://patents.google.com/patent/US9808759B2/en,https://patentimages.storage.googleapis.com/d5/42/1e/7d26b88d240480/US09808759-20171107-D00000.png
US-9156020-B2,Carbon pyrolyzate adsorbent having utility for CO2 capture and methods of making and using the same ,"Entegris, Inc.","Melissa A. Petruska, J. Donald Carruthers, Edward A. Sturm, Shaun M. Wilson, Joshua B. Sweeney",2011-01-31,2015-03-28,2015-10-13,2015-10-13,https://patents.google.com/patent/US9156020B2/en,https://patentimages.storage.googleapis.com/24/52/4b/5ed68f705f2d71/US09156020-20151013-D00000.png
US-9776165-B2,Porous carbon materials for CO2 separation in natural gas ,William Marsh Rice University,"James M. Tour, Desmond E. Schipper, Chih-Chau Hwang, Josiah Tour, Almaz S. Jalilov, Gedeng Ruan, Yilun Li",2012-01-11,2016-01-20,2017-10-03,2017-10-03,https://patents.google.com/patent/US9776165B2/en,https://patentimages.storage.googleapis.com/62/08/fc/cf429521ec0ef8/US09776165-20171003-D00001.png
CA-2902934-C,Integrated power generation and carbon capture using fuel cells ,"Paul J. Berlowitz, Timothy Andrew BARCKHOLTZ, Frank Hershkowitz, Alessandro Faldi, Exxonmobil Research And Engineering Company","Paul J. Berlowitz, Timothy Andrew BARCKHOLTZ, Frank Hershkowitz, Alessandro Faldi",2013-03-15,2014-03-13,2021-06-22,2021-06-22,https://patents.google.com/patent/CA2902934C/en,
